timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748795855249562,1748795855314193,'t',t,64.63,98.93
1748795855325806,1748795855382544,'h',h,56.74,11.61
1748795855454593,1748795855528295,'b',b,73.7,72.05
1748795855594450,1748795855661941,'k',k,67.49,66.15
1748795855833182,1748795855901726,'?',?,68.54,171.24
1748795856090785,1748795856178892,'x',x,88.11,189.06
1748795856240043,1748795856309119,'n',n,69.08,61.15
1748795856284892,1748795856382679,'j',j,97.79,-24.23
1748795856913930,1748795857001792,'d',d,87.86,531.25
1748795857164794,1748795857244349,'r',r,79.56,163.0
1748795857329127,1748795857412391,'f',f,83.26,84.78
1748795857658938,1748795857750778,';',;,91.84,246.55
1748795857867141,1748795857954504,'l',l,87.36,116.36
1748795858066050,1748795858157605,'j',j,91.56,111.55
1748795858175406,1748795858245891,'v',v,70.49,17.8
1748795858448439,1748795858541419,'l',l,92.98,202.55
1748795858633405,1748795858725978,'y',y,92.57,91.99
1748795858828400,1748795858917218,'t',t,88.82,102.42
1748795859674626,1748795859749909,'c',c,75.28,757.41
1748795859858757,1748795859914661,'r',r,55.9,108.85
1748795859937142,1748795859995484,'h',h,58.34,22.48
1748795860052483,1748795860142898,'s',s,90.42,57.0
1748795860144412,1748795860215257,'n',n,70.84,1.51
1748795860364766,1748795860442428,'f',f,77.66,149.51
1748795860672528,1748795860740936,'v',v,68.41,230.1
1748795860836262,1748795860913318,'f',f,77.06,95.33
1748795860947441,1748795861026862,'k',k,79.42,34.12
1748795861085337,1748795861135223,'t',t,49.89,58.48
1748795861230910,1748795861316236,'y',y,85.33,95.69
1748795861319429,1748795861381293,'m',m,61.86,3.19
1748795861450708,1748795861525748,'r',r,75.04,69.42
1748795861613193,1748795861711535,'f',f,98.34,87.44
1748795861712848,1748795861822906,'z',z,110.06,1.31
1748795862032118,1748795862098892,'n',n,66.77,209.21
1748795862106206,1748795862158713,'f',f,52.51,7.31
1748795862263721,1748795862377909,'q',q,114.19,105.01
1748795862599195,1748795862686661,'y',y,87.47,221.29
1748795862789435,1748795862874176,'f',f,84.74,102.77
1748795863053910,1748795863120933,'?',?,67.02,179.73
